V1,V2,V3
-124.741795665635,48.4,-35.4236335754395
-124.725077399381,48.4,-17.8136348724365
-124.708359133127,48.4,-1.35363399982452
-124.691640866873,48.4,11.296365737915
-124.674922600619,48.4,21.8363666534424
-124.658204334365,48.4,13.334831237793
-124.641486068111,48.4,-7.84516906738281
-124.624767801858,48.4,-32.6951675415039
-124.608049535604,48.4,-36.6751708984375
-124.59133126935,48.4,-54.7451705932617
-124.574613003096,48.4,-75.7851715087891
-124.557894736842,48.4,-90.8851699829102
-124.541176470588,48.4,-111.845169067383
-124.524458204334,48.4,-127.680870056152
-124.507739938081,48.4,-143.270874023438
-124.491021671827,48.4,-163.820877075195
-124.474303405573,48.4,-187.210876464844
-124.457585139319,48.4,-205.320877075195
-124.440866873065,48.4,-219.300872802734
-124.424148606811,48.4,-228.680877685547
-124.407430340557,48.4,-233.97087097168
-124.390712074303,48.4,-227.00325012207
-124.37399380805,48.4,-214.613250732422
-124.357275541796,48.4,-204.573257446289
-124.340557275542,48.4,-197.013259887695
-124.323839009288,48.4,-194.573257446289
-124.307120743034,48.4,-191.363250732422
-124.29040247678,48.4,-189.043258666992
-124.273684210526,48.4,-188.483245849609
-124.256965944272,48.4,-188.671951293945
-124.240247678019,48.4,-182.381942749023
-124.223529411765,48.4,-173.291946411133
-124.206811145511,48.4,-165.57194519043
-124.190092879257,48.4,-156.311950683594
-124.173374613003,48.4,-147.031951904297
-124.156656346749,48.4,-141.561950683594
-124.139938080495,48.4,-135.361953735352
-124.123219814241,48.4,-125.037254333496
-124.106501547988,48.4,-115.917251586914
-124.089783281734,48.4,-102.60725402832
-124.07306501548,48.4,-83.5372543334961
-124.056346749226,48.4,-59.1772537231445
-124.039628482972,48.4,-47.6872520446777
-124.022910216718,48.4,-33.7272529602051
-124.006191950464,48.4,-24.507251739502
-123.989473684211,48.4,-23.3677234649658
-123.972755417957,48.4,9.71227645874023
-123.956037151703,48.4,11.0522766113281
-123.939318885449,48.4,33.2922782897949
-123.922600619195,48.4,104.142272949219
-123.905882352941,48.4,99.7522735595703
-123.889164086687,48.4,64.2422790527344
-123.872445820433,48.4,71.1022796630859
-123.85572755418,48.4,72.1253280639648
-123.839009287926,48.4,109.985328674316
-123.822291021672,48.4,151.225326538086
-123.805572755418,48.4,167.835327148438
-123.788854489164,48.4,139.095336914062
-123.77213622291,48.4,93.5653305053711
-123.755417956656,48.4,140.765335083008
-123.738699690402,48.4,78.7053298950195
-123.721981424149,48.4,46.2230110168457
-123.705263157895,48.4,20.7830104827881
-123.688544891641,48.4,32.9130096435547
